campaign_id,platform,campaign_name,impressions,clicks,ctr,cpc,spend,sessions,date
CMP00018,Google AdWords,Google_Ads_Performance_258,33586,1256.0,0.0374,5.09,1810.53,1147.0,2025-10-21
CMP00019,Google Ads,Google_Ads_Conversão_971,28552,902.0,0.0316,4.43,1958.84,855.0,2025-07-11
CMP00020,google ads,Google_Ads_Verão_367,45334,1672.0,0.0369,4.46,2320.08,1527.0,2025-10-28
CMP00021,google ads,Google_Ads_Conversão_175,27660,1183.0,0.0428,5.57,3300.78,1041.0,2025-11-07
CMP00022,Google AdWords,Google_Ads_Awareness_783,24009,967.0,0.0403,3.02,2984.61,905.0,2025-11-04
CMP00023,Google AdWords,Google_Ads_Verão_308,15564,854.0,0.0549,4.95,881.89,770.0,2025-07-24
CMP00024,Google AdWords,Google_Ads_Natal_265,11329,369.0,3.26%,3.9,1257.71,324.0,2025-07-04
CMP00025,Google,Google_Ads_Remarketing_142,53286,2946.0,0.0553,4.3,2987.24,2729.0,2025-07-08
CMP00026,google ads,Google_Ads_Remarketing_342,21767,1068.0,0.0491,4.7,1496.4,987.0,13/09/2025
CMP00027,Google Ads,Google_Ads_Remarketing_906,56271,3145.0,0.0559,5.08,1676.31,2936.0,2025-08-03
CMP00028,Google Ads,Google_Ads_Branding_436,38166,1519.0,0.0398,5.21,3101.1,1363.0,2025-11-16
CMP00029,Google Ads,Google_Ads_Natal_139,52532,3020.0,0.0575,4.27,3311.64,2685.0,2025-08-06
CMP00030,Google Ads,Google_Ads_Black_Friday_472,41516,1378.0,0.0332,5.47,989.24,1217.0,2025-09-20
CMP00031,Google AdWords,Google_Ads_Natal_667,16167,811.0,0.0502,3.49,1358.78,740.0,2025-09-12
CMP00032,Google,Google_Ads_Verão_576,48338,2218.0,0.0459,3.84,2984.55,2005.0,2025-07-24
CMP00033,Google Ads,Google_Ads_Black_Friday_788,56231,1956.0,3.48%,2.78,1997.9,1820.0,2025-08-25
CMP00034,Google AdWords,Google_Ads_Branding_606,48060,2585.0,0.0538,2.74,1684.77,2405.0,2025-07-20
CMP00035,Google Ads,Google_Ads_Black_Friday_968,14985,776.0,0.0518,3.22,2892.74,726.0,2025-09-27
CMP00036,Google,Google_Ads_Performance_262,28794,1629.0,0.0566,5.44,2299.22,1527.0,2025-10-08
CMP00037,Google Ads,Google_Ads_Black_Friday_378,58188,3014.0,0.0518,4.1,1141.66,2758.0,2025-11-30
CMP00038,Google Ads,Google_Ads_Black_Friday_952,18014,897.0,0.0498,2.71,1663.56,828.0,2025-09-15
CMP00039,Google,Google_Ads_Black_Friday_599,58174,2681.0,0.0461,4.07,3322.5,2423.0,2025-09-08
CMP00040,Google Ads,Google_Ads_Branding_706,34497,1735.0,0.0503,5.27,3250.58,1662.0,2025-10-15
CMP00041,Google Ads,Google_Ads_Branding_358,11295,421.0,3.73%,3.58,1809.57,381.0,2025-09-06
CMP00042,Google Ads,Google_Ads_Awareness_736,22694,1093.0,0.0482,5.08,2420.44,1027.0,2025-08-03
CMP00043,Google Ads,Google_Ads_Natal_210,53840,2002.0,0.0372,3.72,2278.27,1916.0,2025-06-30
CMP00044,Google Ads,Google_Ads_Conversão_915,54859,1952.0,0.0356,4.45,2974.77,1755.0,2025-11-26
CMP00045,Google Ads,Google_Ads_Performance_824,41158,1979.0,0.0481,2.54,1702.18,1819.0,2025-09-19
CMP00046,Google Ads,Google_Ads_Conversão_385,43269,2237.0,0.0517,4.03,2959.78,2074.0,2025-08-22
CMP00047,Google Ads,Google_Ads_Natal_710,0,432.0,0.0438,3.57,1911.4,392.0,2025-08-06
CMP00048,Google,Google_Ads_Performance_911,55190,2284.0,0.0414,4.33,1145.0,,2025-11-30
CMP00049,Google Ads,Google_Ads_Performance_377,32184,1393.0,0.0433,4.25,1719.06,1308.0,2025-08-24
CMP00050,google ads,Google_Ads_Natal_202,57950,2856.0,0.0493,3.13,2689.67,2576.0,2025-10-29
CMP00051,Google AdWords,Google_Ads_Performance_205,16295,614.0,0.0377,5.72,2115.41,574.0,2025-07-03
CMP00052,Google Ads,Google_Ads_Awareness_255,11367,421.0,0.0371,5.34,753.67,372.0,2025-10-04
CMP00053,Google,Google_Ads_Performance_404,58098,2422.0,0.0417,4.47,2317.1,2281.0,2025-09-06
CMP00054,Google Ads,Google_Ads_Black_Friday_277,56502,1853.0,0.0328,5.02,2339.1,1669.0,2025-06-21
CMP00055,Google Ads,Google_Ads_Natal_906,10139,370.0,0.0365,4.83,2579.26,339.0,2025-11-23
CMP00056,Google Ads,Google_Ads_Natal_549,22733,1093.0,0.0481,5.5,2962.56,968.0,2025-07-13
CMP00057,Google Ads,Google_Ads_Awareness_193,40361,1707.0,0.0423,4.47,3157.21,1602.0,02/11/2025
CMP00058,google ads,Google_Ads_Performance_384,58119,2836.0,0.0488,3.39,524.72,2667.0,2025-09-29
CMP00059,Google AdWords,Google_Ads_Performance_395,30803,1275.0,4.14%,3.56,724.26,1138.0,2025-09-14
CMP00060,Google AdWords,Google_Ads_Performance_523,24541,959.0,0.0391,5.7,1652.94,883.0,2025-06-01
CMP00061,Google,Google_Ads_Conversão_129,11382,406.0,0.0357,4.31,3275.79,371.0,2025-11-26
CMP00062,Google AdWords,Google_Ads_Remarketing_610,44192,1829.0,0.0414,3.24,3008.36,1626.0,2025-07-01
CMP00063,Google AdWords,Google_Ads_Remarketing_984,38947,1433.0,0.0368,4.32,1589.12,1366.0,2025-10-09
CMP00064,Google,Google_Ads_Remarketing_557,25509,1351.0,0.053,3.43,1325.52,1252.0,2025-11-16
CMP00065,Google Ads,Google_Ads_Verão_862,29088,1579.0,0.0543,5.74,1140.3,1437.0,2025-09-14
CMP00066,Google Ads,Google_Ads_Conversão_995,50730,2916.0,5.75%,4.13,514.76,2683.0,2025-10-30
CMP00067,Google AdWords,Google_Ads_Branding_765,50911,2912.0,0.0572,2.75,2822.73,2624.0,2025-11-07
CMP00068,Google Ads,Google_Ads_Natal_332,49077,2458.0,0.0501,5.01,3104.39,2170.0,2025-06-18
CMP00069,Google Ads,Google_Ads_Verão_483,37076,1286.0,0.0347,3.49,489.74,1165.0,2025-06-15
CMP00070,Google Ads,Google_Ads_Black_Friday_572,19473,627.0,0.0322,5.37,2321.1,563.0,2025-10-28
CMP00071,Google Ads,Google_Ads_Branding_806,26850,1315.0,0.049,3.02,1769.36,1193.0,2025-10-29
CMP00072,Google AdWords,Google_Ads_Branding_381,23545,958.0,0.0407,3.68,1317.2,,2025-06-06
CMP00073,Google Ads,Google_Ads_Black_Friday_751,56835,2495.0,0.0439,5.48,1287.2,2355.0,2025-11-03
CMP00074,Google Ads,Google_Ads_Verão_849,16963,807.0,0.0476,5.48,2403.66,730.0,2025-09-21
CMP00075,Google Ads,Google_Ads_Performance_925,59544,2685.0,0.0451,5.71,2045.64,2559.0,2025-07-13
CMP00076,Google Ads,Google_Ads_Conversão_909,57424,3278.0,0.0571,5.34,2645.07,3141.0,2025-10-21
CMP00077,Google,Google_Ads_Awareness_734,25181,1168.0,0.0464,5.21,3314.9,1037.0,2025-07-30
CMP00078,Google Ads,Google_Ads_Natal_604,61992,2665.0,0.043,4.81,2412.64,2370.0,2025-06-12
CMP00079,Google AdWords,Google_Ads_Conversão_953,56702,2806.0,4.95%,4.28,2220.76,2632.0,2025-09-15
CMP00080,google ads,Google_Ads_Verão_162,37057,1574.0,0.0425,3.28,1524.33,1508.0,2025-09-03
CMP00081,Google Ads,Google_Ads_Remarketing_905,51435,1846.0,0.0359,4.61,3410.39,1631.0,2025-08-25
CMP00082,Google Ads,Google_Ads_Remarketing_653,64996,2372.0,3.65%,5.06,2844.8,2200.0,10/08/2025
CMP00083,Google AdWords,Google_Ads_Branding_638,59772,3114.0,0.0521,4.44,448.92,2806.0,2025-07-03
CMP00084,google ads,Google_Ads_Natal_569,37622,1659.0,0.0441,5.62,534.43,1563.0,2025-11-16
CMP00085,Google Ads,Google_Ads_Conversão_229,15075,658.0,0.0437,5.5,627.82,583.0,2025-11-03
CMP00086,Google AdWords,Google_Ads_Black_Friday_540,42770,1638.0,0.0383,4.17,1733.62,1545.0,2025-06-30
CMP00087,Google,Google_Ads_Conversão_193,14231,552.0,0.0388,3.53,1190.16,527.0,2025-11-23
CMP00088,Google Ads,Google_Ads_Branding_988,44462,1409.0,0.0317,5.66,2141.22,1315.0,2025-09-14
CMP00089,Google Ads,Google_Ads_Conversão_880,41253,1485.0,0.036,4.67,1095.16,1319.0,2025-10-21
CMP00090,Google Ads,Google_Ads_Awareness_284,48745,2300.0,0.0472,4.62,481.39,2194.0,2025-11-25
CMP00091,Google Ads,Google_Ads_Black_Friday_485,17388,798.0,0.0459,3.82,839.81,742.0,2025-06-08
CMP00092,Google AdWords,Google_Ads_Conversão_378,45197,2110.0,0.0467,5.42,882.3,1984.0,2025-06-13
CMP00093,google ads,Google_Ads_Natal_146,41577,1380.0,0.0332,3.92,1278.06,1289.0,2025-10-03
CMP00094,Google Ads,Google_Ads_Remarketing_489,58289,1970.0,0.0338,3.34,1417.18,1734.0,2025-09-19
CMP00095,google ads,Google_Ads_Branding_687,34022,1840.0,0.0541,2.64,458.1,1754.0,2025-08-20
CMP00096,Google,Google_Ads_Conversão_349,19263,1009.0,0.0524,4.54,2979.28,962.0,2025-06-23
CMP00097,Google Ads,Google_Ads_Verão_459,22520,885.0,0.0393,3.05,1982.5,786.0,2025-10-09
CMP00098,Google,Google_Ads_Performance_872,20928,730.0,0.0349,3.0,2753.37,646.0,2025-11-08
CMP00099,Google,Google_Ads_Natal_915,48928,1908.0,0.039,5.7,1380.03,1746.0,2025-09-29
CMP00100,google ads,Google_Ads_Branding_573,11728,472.0,4.03%,3.45,2398.47,452.0,2025-06-24
CMP00101,Google,Google_Ads_Conversão_930,45464,2195.0,0.0483,3.56,1874.45,1958.0,2025-06-16
CMP00102,Google Ads,Google_Ads_Natal_496,24236,1206.0,0.0498,5.77,2024.61,1120.0,2025-09-02
CMP00103,google ads,Google_Ads_Remarketing_441,12319,482.0,0.0392,4.34,1598.35,433.0,2025-11-16
CMP00104,Google AdWords,Google_Ads_Verão_932,51393,2107.0,0.041,4.46,3307.81,1906.0,2025-09-05
CMP00105,Google Ads,Google_Ads_Verão_884,14124,679.0,4.81%,3.9,1521.67,617.0,2025-07-17
CMP00106,Google Ads,Google_Ads_Remarketing_711,14628,646.0,0.0442,4.28,2689.8,595.0,2025-11-17
CMP00107,google ads,Google_Ads_Natal_870,18848,946.0,0.0502,2.64,1529.33,886.0,2025-09-22
CMP00108,Google,Google_Ads_Natal_896,38737,2142.0,0.0553,3.14,2502.75,1982.0,2025-09-21
CMP00109,Google AdWords,Google_Ads_Conversão_391,17070,928.0,0.0544,2.67,1889.83,844.0,2025-06-27
CMP00110,Google,Google_Ads_Awareness_505,14010,791.0,0.0565,3.23,1798.5,718.0,07/06/2025
CMP00111,Google,Google_Ads_Remarketing_877,0,775.0,5.35%,4.64,2853.28,690.0,2025-08-13
CMP00112,Google Ads,Google_Ads_Natal_224,62720,2145.0,0.0342,5.6,2287.53,1960.0,2025-08-13
CMP00113,Google Ads,Google_Ads_Branding_101,40756,1903.0,0.0467,2.55,1997.66,1711.0,2025-07-07
CMP00114,Google Ads,Google_Ads_Branding_994,31632,1009.0,0.0319,4.24,1972.72,967.0,20/10/2025
CMP00115,Google AdWords,Google_Ads_Verão_236,59676,1903.0,0.0319,3.3,2437.02,1690.0,2025-10-27
CMP00116,Google Ads,Google_Ads_Natal_306,38449,2210.0,0.0575,4.08,965.06,1968.0,2025-09-26
CMP00117,Google Ads,Google_Ads_Verão_379,61438,2776.0,0.0452,3.34,2735.2,2485.0,2025-08-31
CMP00118,Google Ads,Google_Ads_Conversão_844,33339,1316.0,0.0395,3.12,2545.41,1196.0,2025-10-11
CMP00119,Google Ads,Google_Ads_Performance_459,14723,474.0,0.0322,4.68,1350.14,439.0,2025-09-18
CMP00120,google ads,Google_Ads_Remarketing_131,49908,2864.0,5.74%,5.63,632.63,2666.0,2025-09-02
CMP00121,Google AdWords,Google_Ads_Performance_479,59020,2838.0,0.0481,3.7,3343.35,2504.0,2025-07-10
CMP00122,Google,Google_Ads_Conversão_368,50569,1911.0,0.0378,5.67,480.33,1710.0,2025-10-11
CMP00123,Google,Google_Ads_Conversão_929,40191,1430.0,0.0356,2.95,629.56,1278.0,2025-11-30
CMP00124,Google AdWords,Google_Ads_Remarketing_912,43531,1658.0,0.0381,3.49,888.27,1553.0,2025-11-27
CMP00125,Google Ads,Google_Ads_Conversão_167,40376,1239.0,0.0307,4.33,1543.62,1169.0,2025-10-20
CMP00126,Google AdWords,Google_Ads_Verão_231,61958,2856.0,0.0461,2.91,1382.79,2530.0,2025-09-28
CMP00127,Google Ads,Google_Ads_Remarketing_430,36352,1603.0,0.0441,5.37,2977.31,1477.0,2025-08-17
CMP00128,google ads,Google_Ads_Conversão_614,13168,487.0,0.037,4.6,2107.61,433.0,2025-08-17
CMP00129,Google Ads,Google_Ads_Natal_766,47658,1882.0,3.95%,5.55,527.7,1786.0,2025-06-21
CMP00130,Google,Google_Ads_Natal_564,43754,1667.0,0.0381,5.66,1897.13,1574.0,2025-11-23
CMP00131,Google,Google_Ads_Remarketing_878,47758,1623.0,0.034,5.34,1389.88,1556.0,2025-08-28
CMP00132,Google Ads,Google_Ads_Remarketing_933,24247,821.0,0.0339,2.67,3330.69,779.0,2025-09-16
CMP00133,google ads,Google_Ads_Performance_346,41733,1798.0,0.0431,5.4,1941.85,1595.0,2025-09-09
CMP00134,Google Ads,Google_Ads_Verão_882,50877,2482.0,0.0488,3.44,425.35,2205.0,2025-07-05
CMP00135,Google AdWords,Google_Ads_Conversão_231,26913,863.0,0.0321,4.16,2769.65,778.0,2025-11-07
CMP00136,Google Ads,Google_Ads_Verão_923,57477,1954.0,0.034,4.49,1644.3,1725.0,2025-06-10
CMP00137,Google Ads,Google_Ads_Performance_825,48178,1874.0,0.0389,3.8,2311.15,1775.0,2025-10-30
CMP00138,google ads,Google_Ads_Performance_371,35298,1634.0,0.0463,5.13,2648.51,1527.0,2025-06-07
CMP00139,Google Ads,Google_Ads_Black_Friday_132,46241,2011.0,0.0435,4.23,2635.67,1894.0,2025-09-06
CMP00140,Google AdWords,Google_Ads_Remarketing_631,35063,1728.0,0.0493,3.85,2802.41,1647.0,2025-06-16
CMP00141,Google AdWords,Google_Ads_Natal_724,19349,830.0,0.0429,4.26,2093.45,775.0,2025-11-22
CMP00142,Google Ads,Google_Ads_Natal_394,27504,1419.0,0.0516,4.83,2539.74,1304.0,2025-10-01
CMP00143,Google,Google_Ads_Natal_865,58663,3079.0,0.0525,3.46,1291.65,2885.0,2025-08-28
CMP00144,Google Ads,Google_Ads_Black_Friday_153,16996,562.0,0.0331,4.94,1141.77,496.0,2025-10-14
CMP00145,Google,Google_Ads_Black_Friday_874,44067,2529.0,0.0574,3.02,2423.97,2403.0,2025-09-30
CMP00146,Google,Google_Ads_Remarketing_137,45626,1665.0,0.0365,4.94,3036.03,1470.0,2025-07-15
CMP00147,Google Ads,Google_Ads_Performance_756,26970,1469.0,0.0545,2.53,2160.68,1305.0,2025-08-25
CMP00148,Google Ads,Google_Ads_Verão_909,20636,1085.0,0.0526,3.59,2666.47,1011.0,2025-07-18
CMP00149,Google Ads,Google_Ads_Performance_431,34574,,,4.2,668.89,1716.0,2025-07-18
CMP00150,Google Ads,Google_Ads_Black_Friday_163,25497,1445.0,0.0567,3.5,2640.94,1272.0,2025-11-15
CMP00151,google ads,Google_Ads_Black_Friday_324,54108,2791.0,0.0516,4.78,2380.01,2666.0,2025-09-03
CMP00152,Google Ads,Google_Ads_Conversão_638,54002,2451.0,0.0454,4.05,2066.3,2287.0,2025-07-26
CMP00153,Google,Google_Ads_Conversão_796,43890,2427.0,0.0553,3.17,2063.65,2167.0,2025-10-12
CMP00154,Google Ads,Google_Ads_Awareness_505,37716,,,3.87,2148.12,1175.0,2025-11-20
CMP00155,Google,Google_Ads_Awareness_393,35767,1416.0,0.0396,2.71,3481.78,1351.0,2025-06-18
CMP00156,Google,Google_Ads_Conversão_799,35548,1439.0,0.0405,5.44,1790.47,1371.0,2025-09-05
CMP00157,Google Ads,Google_Ads_Performance_789,43209,1771.0,0.041,2.92,3434.05,1676.0,2025-06-06
CMP00158,Google,Google_Ads_Awareness_346,18166,684.0,0.0377,5.59,2647.57,608.0,2025-11-17
CMP00159,Google Ads,Google_Ads_Natal_339,11190,412.0,0.0369,2.65,1760.78,380.0,2025-06-15
CMP00160,Google Ads,Google_Ads_Natal_162,29015,1061.0,0.0366,5.39,3455.66,977.0,2025-09-14
CMP00161,Google Ads,Google_Ads_Branding_518,44428,1950.0,0.0439,5.71,3318.92,1820.0,2025-10-13
CMP00162,Google,Google_Ads_Remarketing_497,27709,1496.0,0.054,2.98,1835.38,1323.0,2025-09-14
CMP00163,google ads,Google_Ads_Awareness_994,14059,632.0,0.045,5.24,559.76,575.0,2025-11-02
CMP00164,Google AdWords,Google_Ads_Conversão_864,21689,1177.0,0.0543,3.6,3366.76,1037.0,2025-07-19
CMP00165,Google Ads,Google_Ads_Natal_468,23684,1077.0,0.0455,5.06,1580.05,993.0,2025-08-31
CMP00166,Google AdWords,Google_Ads_Remarketing_116,63032,2458.0,0.039,3.17,1370.06,2172.0,2025-07-27
CMP00167,Google Ads,Google_Ads_Natal_881,29618,1078.0,0.0364,4.38,1161.76,996.0,2025-11-23
CMP00168,Google AdWords,Google_Ads_Awareness_636,60099,2397.0,0.0399,2.96,2094.29,2144.0,2025-10-17
CMP00169,google ads,Google_Ads_Performance_482,35026,1183.0,0.0338,4.58,610.7,1055.0,2025-07-26
CMP00170,google ads,Google_Ads_Natal_117,9030,272.0,0.0302,4.32,436.74,250.0,2025-08-10
CMP00171,Google Ads,Google_Ads_Branding_180,14312,639.0,0.0447,3.3,2321.32,575.0,2025-08-30
CMP00172,Google Ads,Google_Ads_Branding_488,52829,2810.0,0.0532,2.77,3474.19,2618.0,2025-06-09
CMP00173,google ads,Google_Ads_Awareness_335,63399,2669.0,0.0421,5.09,2154.16,2531.0,2025/06/25
CMP00174,Google Ads,Google_Ads_Awareness_312,12872,633.0,0.0492,3.43,2083.4,590.0,2025-07-16
CMP00175,Google Ads,Google_Ads_Branding_873,18646,853.0,4.58%,4.37,3033.27,796.0,2025-10-17
CMP00176,google ads,Google_Ads_Branding_892,30666,965.0,0.0315,3.94,2999.89,875.0,2025-11-05
CMP00177,google ads,Google_Ads_Natal_917,44243,2495.0,0.0564,3.93,2507.05,2327.0,2025-06-22
CMP00178,Google,Google_Ads_Verão_879,18110,918.0,0.0507,3.55,730.31,808.0,2025-08-18
CMP00179,Google,Google_Ads_Awareness_398,34741,1142.0,0.0329,2.8,2118.08,1059.0,2025-08-23
CMP00180,Google Ads,Google_Ads_Performance_249,23908,1099.0,0.046,3.06,1580.27,979.0,2025-08-17
CMP00181,Google Ads,Google_Ads_Remarketing_411,24495,1381.0,0.0564,4.88,1936.99,,2025-09-26
CMP00182,Google Ads,Google_Ads_Verão_717,36850,1451.0,0.0394,5.19,3064.48,1389.0,2025-07-05
CMP00183,Google,Google_Ads_Natal_936,27100,1371.0,0.0506,4.59,3400.07,1292.0,2025-08-23
CMP00184,Google Ads,Google_Ads_Performance_916,19791,971.0,0.0491,4.32,3354.31,890.0,2025-11-29
CMP00185,Google,Google_Ads_Conversão_559,40722,1380.0,0.0339,3.5,1183.31,1231.0,2025-09-17
CMP00186,google ads,Google_Ads_Conversão_211,53331,2223.0,0.0417,2.62,3402.13,2081.0,2025/10/16
CMP00187,Google Ads,Google_Ads_Awareness_200,50272,2463.0,0.049,3.82,2733.32,2357.0,2025-09-19
CMP00188,Google Ads,Google_Ads_Awareness_594,37214,1507.0,0.0405,4.03,2506.62,1409.0,2025-07-09
CMP00189,Google,Google_Ads_Conversão_548,17284,687.0,3.98%,3.63,2831.24,633.0,2025-08-29
CMP00190,google ads,Google_Ads_Remarketing_665,9480,510.0,0.0538,4.64,2499.13,455.0,2025-08-02
CMP00191,Google,Google_Ads_Branding_498,20088,707.0,0.0352,4.67,1626.31,,2025-07-21
CMP00192,Google Ads,Google_Ads_Natal_786,45837,1503.0,0.0328,5.38,979.58,1361.0,2025-09-26
CMP00193,Google AdWords,Google_Ads_Natal_729,46469,1542.0,0.0332,3.66,1819.37,1378.0,2025-11-20
CMP00194,Google,Google_Ads_Remarketing_598,32464,1603.0,0.0494,4.19,1696.54,1428.0,2025-09-07
CMP00195,Google Ads,Google_Ads_Performance_239,40089,1527.0,0.0381,3.12,3010.15,1419.0,2025-08-31
CMP00196,Google Ads,Google_Ads_Natal_133,40225,1673.0,0.0416,5.27,1914.97,1483.0,2025-06-08
CMP00197,Google Ads,Google_Ads_Awareness_878,58195,2554.0,0.0439,4.19,2175.41,2302.0,2025-10-18
CMP00198,Google,Google_Ads_Conversão_894,57240,2112.0,0.0369,5.39,499.91,1902.0,2025-06-23
CMP00199,Google Ads,Google_Ads_Verão_645,47994,2289.0,0.0477,3.05,831.63,2052.0,2025-07-23
CMP00200,Google,Google_Ads_Awareness_383,25520,1446.0,0.0567,4.2,3190.48,1366.0,2025-07-05
CMP00201,Google Ads,Google_Ads_Branding_484,62295,2298.0,0.0369,5.28,1617.37,2048.0,2025-11-09
CMP00202,Google Ads,Google_Ads_Conversão_848,26233,1298.0,0.0495,5.4,1809.56,1192.0,2025-10-27
CMP00203,Google Ads,Google_Ads_Remarketing_679,34064,1229.0,0.0361,3.92,1056.74,1107.0,2025/08/12
CMP00204,Google,Google_Ads_Awareness_538,49037,2545.0,0.0519,4.02,785.14,2414.0,2025-09-21
CMP00205,Google Ads,Google_Ads_Awareness_505,25958,846.0,0.0326,3.69,655.5,789.0,2025-11-14
CMP00206,Google,Google_Ads_Awareness_108,14237,427.0,0.03,4.07,811.37,383.0,2025-11-22
CMP00207,Google Ads,Google_Ads_Remarketing_491,12641,460.0,0.0364,2.79,2898.47,408.0,2025-09-03
CMP00208,Google AdWords,Google_Ads_Remarketing_521,42767,1958.0,0.0458,4.51,908.76,1778.0,2025-07-25
CMP00209,Google Ads,Google_Ads_Natal_760,16071,747.0,0.0465,3.77,3386.07,676.0,2025-07-06
CMP00210,google ads,Google_Ads_Black_Friday_865,53251,1640.0,0.0308,5.3,3115.06,1470.0,2025-11-03
CMP00211,Google Ads,Google_Ads_Verão_235,33289,1105.0,0.0332,4.15,2241.18,1019.0,2025-06-04
CMP00212,Google Ads,Google_Ads_Awareness_161,38868,2203.0,0.0567,5.04,451.74,1950.0,2025-08-07
CMP00213,Google Ads,Google_Ads_Natal_180,35759,1777.0,0.0497,2.77,2063.35,1651.0,2025-08-11
CMP00214,Google AdWords,Google_Ads_Black_Friday_159,49569,2547.0,0.0514,4.64,2393.78,2304.0,2025/09/20
CMP00215,Google Ads,Google_Ads_Remarketing_608,51652,2623.0,0.0508,4.94,770.27,2456.0,2025-11-27
CMP00216,Google Ads,Google_Ads_Branding_378,16318,832.0,0.051,5.38,2672.1,740.0,2025-06-08
CMP00217,Google Ads,Google_Ads_Conversão_333,41474,,,4.15,2157.35,1512.0,05/08/2025
CMP00218,google ads,Google_Ads_Branding_329,11013,475.0,0.0432,3.76,865.26,453.0,2025-06-10
CMP00219,Google Ads,Google_Ads_Branding_170,32432,1079.0,0.0333,4.72,563.28,968.0,2025-10-11
CMP00220,Google Ads,Google_Ads_Performance_477,37933,1145.0,0.0302,3.16,2147.8,1035.0,2025-11-07
CMP00221,Google Ads,Google_Ads_Awareness_443,57838,3024.0,0.0523,3.0,3290.43,,2025-10-17
CMP00222,Google AdWords,Google_Ads_Natal_195,42721,2456.0,0.0575,3.89,3379.67,2352.0,2025-07-07
CMP00223,Google Ads,Google_Ads_Awareness_545,38045,2179.0,0.0573,2.78,696.29,1940.0,2025-09-09
CMP00224,Google Ads,Google_Ads_Remarketing_898,33752,1674.0,0.0496,4.93,1385.98,1509.0,2025-06-20
CMP00225,Google Ads,Google_Ads_Conversão_261,15912,716.0,0.045,5.68,1043.67,647.0,2025-08-07
CMP00226,Google Ads,Google_Ads_Natal_366,64136,2514.0,0.0392,2.8,1169.48,2283.0,2025-10-10
CMP00227,Google Ads,Google_Ads_Black_Friday_233,44052,1629.0,0.037,4.02,2892.08,1451.0,2025-06-04
CMP00228,Google,Google_Ads_Remarketing_194,46411,1726.0,3.72%,5.18,467.58,1527.0,2025-11-13
CMP00229,Google AdWords,Google_Ads_Branding_276,19009,1062.0,0.0559,3.93,2645.74,976.0,2025-09-06
CMP00230,Google,Google_Ads_Awareness_189,48246,2282.0,0.0473,3.31,1314.83,2083.0,2025-10-19
CMP00231,Google Ads,Google_Ads_Performance_657,49337,2851.0,0.0578,4.29,460.54,2596.0,2025-11-30
CMP00232,Google,Google_Ads_Verão_885,9708,377.0,0.0389,3.22,3176.87,355.0,2025-06-15
CMP00233,google ads,Google_Ads_Branding_463,42975,2273.0,0.0529,5.53,573.32,2181.0,2025-07-27
CMP00234,google ads,Google_Ads_Remarketing_676,56372,2790.0,0.0495,5.52,487.44,2611.0,2025-10-24
CMP00235,Google,Google_Ads_Awareness_439,19505,852.0,0.0437,2.8,1121.13,764.0,2025-10-13
CMP00236,Google Ads,Google_Ads_Verão_174,63331,3438.0,0.0543,2.7,857.91,3219.0,2025-07-07
CMP00237,Google AdWords,Google_Ads_Verão_278,16942,970.0,0.0573,4.92,1754.29,903.0,2025-10-03
CMP00238,Google Ads,Google_Ads_Awareness_818,51616,2400.0,0.0465,3.08,1351.15,2244.0,03/07/2025
CMP00239,Google,Google_Ads_Remarketing_439,47478,1846.0,0.0389,5.17,2295.28,1718.0,2025-06-27
